evaluator,deviation
gpt-4o-mini,-0.006956521739130417
gpt-4.1-mini,-0.008695652173912993
gpt-4o,-0.01652173913043481
gpt-4.1,0.15826086956521745
haiku-3.5,0.052608695652173854
sonnet-3.7,0.1330434782608696
sonnet-4.5,0.17999999999999994
opus-4.1,0.3338410726609484
gemini-2.0-flash-lite,-0.028695652173913067
gemini-2.0-flash,0.0808695652173913
ll-3.1-8b,-0.011304347826086969
ll-3.1-70b,-0.01782608695652177
ll-3.1-405b,0.04137681159420292
qwen-2.5-7b,-0.03434782608695658
qwen-2.5-72b,0.027391304347826106
qwen-3.0-80b,0.23304347826086957
deepseek-3.1,0.016521739130434754
kimi-k2,-0.00913043478260872
