evaluator,sharegpt/english_26+english2_74
gpt-4o-mini,0.0142647058823529
gpt-4.1-mini,0.0392194570135746
gpt-4o,0.0300964197121234
gpt-4.1,0.0547058823529411
haiku-3.5,0.0139469782433521
sonnet-3.7,0.0504647058823529
sonnet-4.5,0.0623907425562426
opus-4.1,0.073879049153908
gemini-2.0-flash-lite,0.0160294117647058
gemini-2.0-flash,0.0523529411764706
ll-3.1-8b,-0.0958823529411764
ll-3.1-70b,-0.0188009049773755
ll-3.1-405b,-0.0163687782805429
qwen-2.5-7b,-0.0006334841628959
qwen-2.5-72b,0.0133371040723981
qwen-3.0-80b,0.053631221719457
deepseek-3.1,0.0191176470588234
kimi-k2,0.0739388696655132
