evaluator,deviation
gpt-4o-mini,-0.0005882352941176117
gpt-4.1-mini,0.047647058823529376
gpt-4o,0.006470588235294228
gpt-4.1,0.19823529411764707
haiku-3.5,0.1011764705882352
sonnet-3.7,0.16705882352941182
sonnet-4.5,0.23352941176470587
opus-4.1,0.3734736318769931
gemini-2.0-flash-lite,0.03647058823529403
gemini-2.0-flash,0.1399999999999998
ll-3.1-8b,-0.003529411764705892
ll-3.1-70b,-0.014117647058823568
ll-3.1-405b,0.061764705882352944
qwen-2.5-7b,-0.028823529411764637
qwen-2.5-72b,0.04470588235294126
qwen-3.0-80b,0.28470588235294114
deepseek-3.1,0.0523529411764706
kimi-k2,0.021764705882352908
