evaluator,deviation
gpt-4o-mini,-0.034117647058823475
gpt-4.1-mini,-0.20058823529411762
gpt-4o,0.10941176470588232
gpt-4.1,0.1452941176470589
haiku-3.5,-0.32176470588235295
sonnet-3.7,0.017058823529411793
sonnet-4.5,0.37882352941176467
opus-4.1,0.32176470588235284
gemini-2.0-flash-lite,-0.35
gemini-2.0-flash,0.09411764705882353
ll-3.1-8b,-0.3982352941176471
ll-3.1-70b,0.005882352941176561
ll-3.1-405b,-0.02470588235294119
qwen-2.5-7b,0.034117647058823586
qwen-2.5-72b,0.20411764705882351
qwen-3.0-80b,0.42823529411764716
deepseek-3.1,0.14
kimi-k2,0.4028506787330316
