evaluator,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-oss-120b-thinking,0.2098616295469841,0.0338252086078172
opus-4.1-thinking,0.2185834078854673,0.0052173913043478
gemini-2.5-pro-thinking,0.0969565217391305,0.0719894598155468
qwen-3.0-80b-thinking,0.047858942957911,0.0351322969538069
deepseek-r1-thinking,0.0645652173913043,0.0113360694059497
kimi-k2-thinking,0.1425177492225546,0.0673336708117277
gpt-4o-mini,0.0702173913043477,0.0106521739130435
gpt-4.1-mini,0.0180434782608696,0.0323913043478261
gpt-4o,0.0568920769035184,0.0067391304347825
gpt-4.1,0.1436956521739131,0.1119565217391304
haiku-3.5,0.0744927536231884,-0.0806521739130434
sonnet-3.7,0.2144035674470457,-0.042391304347826
sonnet-4.5,0.0939130434782609,0.0319565217391304
opus-4.1,0.1883920675071151,-0.0165349143610012
gemini-2.0-flash-lite,-0.2767391304347826,0.0002173913043478
gemini-2.0-flash,-0.0271739130434782,0.0723913043478261
ll-3.1-8b,-0.0719565217391304,0.0241304347826086
ll-3.1-70b,0.0086956521739131,-0.138695652173913
ll-3.1-405b,0.0271739130434782,0.0148278985507246
qwen-2.5-7b,0.055,0.0045652173913043
qwen-2.5-72b,0.1169565217391304,0.0715217391304348
qwen-3.0-80b,0.0043478260869564,0.1004347826086956
deepseek-3.1,0.0195652173913043,0.0504369784804566
kimi-k2,0.07,-0.0315217391304347
