evaluator,sharegpt/english_26+english2_74
gpt-4o-mini,-0.0467647058823529
gpt-4.1-mini,-0.0423529411764705
gpt-4o,-0.033235294117647
gpt-4.1,0.0976696832579184
haiku-3.5,-0.2064705882352941
sonnet-3.7,-0.0408823529411764
sonnet-4.5,0.2377375565610858
opus-4.1,0.2723529411764706
gemini-2.0-flash-lite,0.2080542986425338
gemini-2.0-flash,0.3002941176470588
ll-3.1-8b,-0.1588235294117647
ll-3.1-70b,-0.1626470588235293
ll-3.1-405b,-0.1811888148304633
qwen-2.5-7b,-0.0835294117647059
qwen-2.5-72b,-0.0205882352941176
qwen-3.0-80b,0.3846153846153847
deepseek-3.1,0.2947511312217195
kimi-k2,0.3916515837104072
