evaluator,sharegpt/english_26+english2_74
gpt-4o-mini,0.453235294117647
gpt-4.1-mini,0.4576470588235294
gpt-4o,0.4667647058823529
gpt-4.1,0.5976696832579185
haiku-3.5,0.2935294117647058
sonnet-3.7,0.4591176470588236
sonnet-4.5,0.7377375565610859
opus-4.1,0.7723529411764706
gemini-2.0-flash-lite,0.7080542986425339
gemini-2.0-flash,0.8002941176470588
ll-3.1-8b,0.3411764705882353
ll-3.1-70b,0.3373529411764706
ll-3.1-405b,0.3188111851695366
qwen-2.5-7b,0.4164705882352941
qwen-2.5-72b,0.4794117647058823
qwen-3.0-80b,0.8846153846153847
deepseek-3.1,0.7947511312217195
kimi-k2,0.8916515837104072
