evaluator,generator,dataset,distance,performance
gpt-4.1-mini,gpt-4o-mini,sharegpt,-72,0.61
gpt-4o,gpt-4o-mini,sharegpt,-134,0.51
gpt-4.1,gpt-4o-mini,sharegpt,-105,0.74
haiku-3.5,gpt-4o-mini,sharegpt,-14,0.32
sonnet-4.5,gpt-4o-mini,sharegpt,-139,0.915
opus-4.1,gpt-4o-mini,sharegpt,-137,0.97
gemini-2.0-flash-lite,gpt-4o-mini,sharegpt,-50,0.86
gemini-2.0-flash,gpt-4o-mini,sharegpt,-56,0.925
ll-3.1-8b,gpt-4o-mini,sharegpt,73,0.37
ll-3.1-70b,gpt-4o-mini,sharegpt,21,0.42
ll-3.1-405b,gpt-4o-mini,sharegpt,-27,0.3787671232876712
qwen-2.5-72b,gpt-4o-mini,sharegpt,18,0.6
qwen-3.0-80b,gpt-4o-mini,sharegpt,-93,0.985
deepseek-3.1,gpt-4o-mini,sharegpt,-110,0.935
kimi-k2,gpt-4o-mini,sharegpt,-114,0.96
gpt-4o-mini,gpt-4.1-mini,sharegpt,72,0.54
gpt-4o,gpt-4.1-mini,sharegpt,-62,0.505
gpt-4.1,gpt-4.1-mini,sharegpt,-33,0.71
haiku-3.5,gpt-4.1-mini,sharegpt,58,0.39
sonnet-4.5,gpt-4.1-mini,sharegpt,-67,0.845
opus-4.1,gpt-4.1-mini,sharegpt,-65,0.91
gemini-2.0-flash-lite,gpt-4.1-mini,sharegpt,22,0.8
gemini-2.0-flash,gpt-4.1-mini,sharegpt,16,0.89
ll-3.1-8b,gpt-4.1-mini,sharegpt,145,0.41
ll-3.1-70b,gpt-4.1-mini,sharegpt,93,0.455
ll-3.1-405b,gpt-4.1-mini,sharegpt,45,0.4038461538461538
qwen-2.5-72b,gpt-4.1-mini,sharegpt,90,0.565
qwen-3.0-80b,gpt-4.1-mini,sharegpt,-21,0.955
deepseek-3.1,gpt-4.1-mini,sharegpt,-38,0.88
kimi-k2,gpt-4.1-mini,sharegpt,-42,0.935
gpt-4o-mini,gpt-4o,sharegpt,134,0.605
gpt-4.1-mini,gpt-4o,sharegpt,62,0.705
gpt-4.1,gpt-4o,sharegpt,29,0.825
haiku-3.5,gpt-4o,sharegpt,120,0.41
sonnet-4.5,gpt-4o,sharegpt,-5,0.905
opus-4.1,gpt-4o,sharegpt,-3,0.965
gemini-2.0-flash-lite,gpt-4o,sharegpt,84,0.885
gemini-2.0-flash,gpt-4o,sharegpt,78,0.96
ll-3.1-8b,gpt-4o,sharegpt,207,0.42
ll-3.1-70b,gpt-4o,sharegpt,155,0.5
ll-3.1-405b,gpt-4o,sharegpt,107,0.4521768707482993
qwen-2.5-72b,gpt-4o,sharegpt,152,0.765
qwen-3.0-80b,gpt-4o,sharegpt,41,0.98
deepseek-3.1,gpt-4o,sharegpt,24,0.945
kimi-k2,gpt-4o,sharegpt,20,0.9230769230769232
gpt-4o-mini,gpt-4.1,sharegpt,105,0.4
gpt-4.1-mini,gpt-4.1,sharegpt,33,0.255
gpt-4o,gpt-4.1,sharegpt,-29,0.455
haiku-3.5,gpt-4.1,sharegpt,91,0.245
sonnet-4.5,gpt-4.1,sharegpt,-34,0.755
opus-4.1,gpt-4.1,sharegpt,-32,0.8
gemini-2.0-flash-lite,gpt-4.1,sharegpt,55,0.725
gemini-2.0-flash,gpt-4.1,sharegpt,49,0.84
ll-3.1-8b,gpt-4.1,sharegpt,178,0.3049999999999999
ll-3.1-70b,gpt-4.1,sharegpt,126,0.375
ll-3.1-405b,gpt-4.1,sharegpt,78,0.2699999999999999
qwen-2.5-72b,gpt-4.1,sharegpt,123,0.405
qwen-3.0-80b,gpt-4.1,sharegpt,12,0.95
deepseek-3.1,gpt-4.1,sharegpt,-5,0.84
kimi-k2,gpt-4.1,sharegpt,-9,0.89
gpt-4o-mini,haiku-3.5,sharegpt,14,0.665
