evaluator,deviation
gpt-4o-mini,0.010000000000000009
gpt-4.1-mini,0.040294117647058814
gpt-4o,0.011176470588235343
gpt-4.1,0.1485294117647058
haiku-3.5,-0.08705882352941174
sonnet-3.7,-0.045882352941176485
sonnet-4.5,0.03529411764705881
opus-4.1,-0.01970588235294113
gemini-2.0-flash-lite,0.0002941176470587781
gemini-2.0-flash,0.06823529411764706
ll-3.1-8b,0.030000000000000027
ll-3.1-70b,-0.13029411764705884
ll-3.1-405b,0.013823529411764679
qwen-2.5-7b,0.0026470588235294468
qwen-2.5-72b,0.06823529411764706
qwen-3.0-80b,0.10911764705882354
deepseek-3.1,0.05823529411764705
kimi-k2,-0.02558823529411769
