evaluator,performance,n_samples
gpt-oss-120b-thinking,0.5701087262214627,11810.0
opus-4.1-thinking,0.6232106706777504,11810.0
gemini-2.5-pro-thinking,0.5621197762049406,11810.0
qwen-3.0-80b-thinking,0.5377790833179985,11810.0
deepseek-r1-thinking,0.5206148672389515,11810.0
kimi-k2-thinking,0.585769931982043,11810.0
gpt-4o-mini,0.5436935088450605,15366.0
gpt-4.1-mini,0.5230477528242297,13180.0
gpt-4o,0.5253966912988823,13534.0
gpt-4.1,0.6259634111929442,13152.0
haiku-3.5,0.5032425776371906,12636.0
sonnet-3.7,0.5566480322833129,12636.0
sonnet-4.5,0.5748676661043587,12636.0
opus-4.1,0.6601254788675219,12636.0
gemini-2.0-flash-lite,0.4503408831110341,15236.0
gemini-2.0-flash,0.5392147338635415,15084.0
ll-3.1-8b,0.45374790535414855,14024.0
ll-3.1-70b,0.47715509810377954,13714.0
ll-3.1-405b,0.5501738079241731,13572.0
qwen-2.5-7b,0.5104314881849396,13964.0
qwen-2.5-72b,0.5333416338751246,13828.0
qwen-3.0-80b,0.5317080180904193,13926.0
deepseek-3.1,0.5258543406897914,13534.0
kimi-k2,0.5282506029843631,13888.0
