evaluator,variance
gpt-4o-mini,0.0007464991088831672
gpt-4.1-mini,0.02405705134412855
gpt-4o,0.002925813046091941
gpt-4.1,0.001643183120244743
haiku-3.5,0.010136137110220036
sonnet-3.7,0.004708335076655747
sonnet-4.5,0.006611508235983208
opus-4.1,0.0014144464672661064
gemini-2.0-flash-lite,0.037780456493001886
gemini-2.0-flash,0.03456718980636912
ll-3.1-8b,0.026792061178759537
ll-3.1-70b,0.0006539859074681928
ll-3.1-405b,0.0023946080748059252
qwen-2.5-7b,0.002471642243950548
qwen-2.5-72b,0.0014479352884628285
qwen-3.0-80b,0.010229283972664725
deepseek-3.1,0.007811406105206632
kimi-k2,0.009244415700068967
