evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-4o-mini,-0.0603371783496007,0.0013043478260869,-0.0213043478260868,-0.0069565217391304
gpt-4.1-mini,0.266637089618456,0.0065217391304347,-0.0917391304347826,-0.0086956521739129
gpt-4o,-0.04170363797693,0.0185543734865397,0.0830094466936571,-0.0165217391304348
gpt-4.1,0.0909494232475599,0.0617391304347826,0.097391304347826,0.1582608695652174
haiku-3.5,-0.002661934338953,-0.1504347826086957,-0.1391304347826086,0.0526086956521738
sonnet-3.7,0.0222646743301196,0.008657125989677,0.1347826086956522,0.1330434782608696
sonnet-4.5,0.2914742905268225,0.093695652173913,0.2034782608695652,0.1799999999999999
opus-4.1,0.3992826312544177,0.3172636880839291,0.3247826086956521,0.3338410726609484
gemini-2.0-flash-lite,-0.2369121561668146,0.0991304347826086,-0.3282608695652174,-0.028695652173913
gemini-2.0-flash,-0.207187222715173,0.2405360333531865,0.0069565217391304,0.0808695652173913
ll-3.1-8b,-0.0971606033717835,-0.0606521739130434,-0.3760869565217392,-0.0113043478260869
ll-3.1-70b,-0.0443655723158828,-0.0104347826086956,0.0178260869565217,-0.0178260869565217
ll-3.1-405b,-0.0709849157054126,-0.0454586063132816,-0.0069565217391304,0.0413768115942029
qwen-2.5-7b,-0.0119787045252884,-0.0073913043478261,0.0786956521739129,-0.0343478260869565
qwen-2.5-72b,0.0146406388642412,0.011304347826087,0.092608695652174,0.0273913043478261
qwen-3.0-80b,0.4685004436557232,0.2919565217391302,0.3608695652173912,0.2330434782608695
deepseek-3.1,-0.0181898846495119,0.1821739130434782,0.0860869565217391,0.0165217391304347
kimi-k2,0.1273291925465838,0.1668320371626912,0.2143701226309922,-0.0091304347826087
