evaluator,sharegpt/english_26+english2_74
gpt-4o-mini,0.07044117647058823
gpt-4.1-mini,0.0012217194570135481
gpt-4o,0.010251061343151235
gpt-4.1,0.09338235294117636
haiku-3.5,0.004876551168412568
sonnet-3.7,-0.05761175641305538
sonnet-4.5,0.0419563162672868
opus-4.1,0.11433859790491552
gemini-2.0-flash-lite,-0.014852941176470513
gemini-2.0-flash,0.055882352941176494
ll-3.1-8b,0.059264705882352886
ll-3.1-70b,0.00012443438914028215
ll-3.1-405b,0.059162895927601766
qwen-2.5-7b,0.0022511312217194934
qwen-2.5-72b,0.030633484162895908
qwen-3.0-80b,-0.014954751131221689
deepseek-3.1,0.01764705882352946
kimi-k2,-0.04114475201845447
