evaluator,sharegpt/english_26+english2_74
gpt-4o-mini,-0.514264705882353
gpt-4.1-mini,-0.5392194570135747
gpt-4o,-0.5300964197121234
gpt-4.1,-0.5547058823529412
haiku-3.5,0.026437637141263348
sonnet-3.7,-0.0332397638889923
sonnet-4.5,0.04829387282837283
opus-4.1,0.11186710469224581
gemini-2.0-flash-lite,-0.007183257918552011
gemini-2.0-flash,0.06072398190045247
ll-3.1-8b,0.06203619909502256
ll-3.1-70b,0.019377828054298607
ll-3.1-405b,0.07598416289592763
qwen-2.5-7b,0.006018099547511313
qwen-2.5-72b,0.04204751131221718
qwen-3.0-80b,-0.00536199095022627
deepseek-3.1,0.02703619909502264
kimi-k2,-0.031438869665513236
