evaluator,deviation
gpt-4o-mini,0.016764705882352904
gpt-4.1-mini,0.06294117647058828
gpt-4o,0.03323529411764703
gpt-4.1,0.09264705882352942
haiku-3.5,0.008823529411764675
sonnet-3.7,0.06382352941176472
sonnet-4.5,0.03646464646464642
opus-4.1,0.10457103749028507
gemini-2.0-flash-lite,0.014117647058823568
gemini-2.0-flash,0.057647058823529385
ll-3.1-8b,-0.029705882352941138
ll-3.1-70b,0.03764705882352937
ll-3.1-405b,0.036176470588235254
qwen-2.5-7b,-0.002352941176470613
qwen-2.5-72b,-0.001764705882352946
qwen-3.0-80b,0.08441176470588241
deepseek-3.1,-0.03529411764705881
kimi-k2,-0.011176470588235343
