evaluator,generator,dataset,distance,performance
opus-4.1-thinking,gpt-oss-120b-thinking,wikisum,-87,0.5510204081632653
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,wikisum,-91,0.0204081632653061
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,wikisum,-11,0.0284765068818224
deepseek-r1-thinking,gpt-oss-120b-thinking,wikisum,-64,0.0204081632653061
kimi-k2-thinking,gpt-oss-120b-thinking,wikisum,-75,0.1525216983345062
gpt-oss-120b-thinking,opus-4.1-thinking,wikisum,87,0.8869277440706013
gemini-2.5-pro-thinking,opus-4.1-thinking,wikisum,-4,0.0
qwen-3.0-80b-thinking,opus-4.1-thinking,wikisum,76,0.0138483965014577
deepseek-r1-thinking,opus-4.1-thinking,wikisum,23,0.010204081632653
kimi-k2-thinking,opus-4.1-thinking,wikisum,12,0.2871876555500248
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,wikisum,91,0.8571428571428571
opus-4.1-thinking,gemini-2.5-pro-thinking,wikisum,4,0.4183673469387755
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,wikisum,80,0.0
deepseek-r1-thinking,gemini-2.5-pro-thinking,wikisum,27,0.0306122448979591
kimi-k2-thinking,gemini-2.5-pro-thinking,wikisum,16,0.1186474589835934
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,wikisum,11,0.7653061224489796
opus-4.1-thinking,qwen-3.0-80b-thinking,wikisum,-76,0.6836734693877551
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,wikisum,-80,0.0314396028681743
deepseek-r1-thinking,qwen-3.0-80b-thinking,wikisum,-53,0.0408163265306122
kimi-k2-thinking,qwen-3.0-80b-thinking,wikisum,-64,0.2860922146636432
gpt-oss-120b-thinking,deepseek-r1-thinking,wikisum,64,0.8571428571428571
opus-4.1-thinking,deepseek-r1-thinking,wikisum,-23,0.826530612244898
gemini-2.5-pro-thinking,deepseek-r1-thinking,wikisum,-27,0.0510204081632653
qwen-3.0-80b-thinking,deepseek-r1-thinking,wikisum,53,0.1041750033346672
kimi-k2-thinking,deepseek-r1-thinking,wikisum,-11,0.2202257202257202
gpt-oss-120b-thinking,kimi-k2-thinking,wikisum,75,0.826530612244898
opus-4.1-thinking,kimi-k2-thinking,wikisum,-12,0.4387755102040816
gemini-2.5-pro-thinking,kimi-k2-thinking,wikisum,-16,0.0
qwen-3.0-80b-thinking,kimi-k2-thinking,wikisum,64,0.0
deepseek-r1-thinking,kimi-k2-thinking,wikisum,11,0.0510204081632653
opus-4.1-thinking,gpt-oss-120b-thinking,sharegpt,-87,0.955
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,sharegpt,-91,0.065
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,sharegpt,-11,0.0918315645326942
deepseek-r1-thinking,gpt-oss-120b-thinking,sharegpt,-64,0.08
kimi-k2-thinking,gpt-oss-120b-thinking,sharegpt,-75,0.3125571504518873
gpt-oss-120b-thinking,opus-4.1-thinking,sharegpt,87,0.7855172413793103
gemini-2.5-pro-thinking,opus-4.1-thinking,sharegpt,-4,0.0689655172413793
qwen-3.0-80b-thinking,opus-4.1-thinking,sharegpt,76,0.1593466424682396
deepseek-r1-thinking,opus-4.1-thinking,sharegpt,23,0.0862068965517241
kimi-k2-thinking,opus-4.1-thinking,sharegpt,12,0.2443140132061629
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,sharegpt,91,0.8113888888888888
opus-4.1-thinking,gemini-2.5-pro-thinking,sharegpt,4,0.895
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,sharegpt,80,0.0380325203252032
deepseek-r1-thinking,gemini-2.5-pro-thinking,sharegpt,27,0.03
kimi-k2-thinking,gemini-2.5-pro-thinking,sharegpt,16,0.1348358208955224
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,sharegpt,11,0.6974482758620689
opus-4.1-thinking,qwen-3.0-80b-thinking,sharegpt,-76,0.975
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,sharegpt,-80,0.02
deepseek-r1-thinking,qwen-3.0-80b-thinking,sharegpt,-53,0.055
kimi-k2-thinking,qwen-3.0-80b-thinking,sharegpt,-64,0.2928199428389965
gpt-oss-120b-thinking,deepseek-r1-thinking,sharegpt,64,0.7847871148459383
opus-4.1-thinking,deepseek-r1-thinking,sharegpt,-23,0.975
gemini-2.5-pro-thinking,deepseek-r1-thinking,sharegpt,-27,0.03
qwen-3.0-80b-thinking,deepseek-r1-thinking,sharegpt,53,0.1199626517273576
kimi-k2-thinking,deepseek-r1-thinking,sharegpt,-11,0.2303147482014388
gpt-oss-120b-thinking,kimi-k2-thinking,sharegpt,75,0.8657442528735632
opus-4.1-thinking,kimi-k2-thinking,sharegpt,-12,0.7574
gemini-2.5-pro-thinking,kimi-k2-thinking,sharegpt,-16,0.02
qwen-3.0-80b-thinking,kimi-k2-thinking,sharegpt,64,0.0522423706324635
deepseek-r1-thinking,kimi-k2-thinking,sharegpt,11,0.03
