evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-4o-mini,0.06631348191450492,0.04806905370843989,0.012813299232736552,0.0495140664961638
gpt-4.1-mini,-0.0773004854115561,0.04887468030690534,0.10884910485933502,-0.01340153452685422
gpt-4o,0.01591941124275792,0.05178966760418685,-0.026402318012225146,0.005831202046035711
gpt-4.1,-0.22477686726864643,-0.03649616368286446,-0.04790281329923285,-0.04644501278772373
haiku-3.5,0.026749830366929406,0.05603580562659849,0.18263427109974428,-0.28386189258312033
sonnet-3.7,0.016731806768486734,0.049539478930853476,0.11772378516624049,-0.14519181585677754
sonnet-4.5,-0.0854764897853022,-0.14306905370843992,-0.17534526854219945,-0.12294117647058833
opus-4.1,0.0451409745917527,0.044910746907458554,0.003017902813299278,0.02769701928827173
gemini-2.0-flash-lite,-0.04363484524244482,-0.11116368286445011,0.021739130434782594,-0.0004603580562660414
gemini-2.0-flash,-0.039119995824416776,-0.059758084293872304,-0.08716112531969311,-0.03560102301790269
ll-3.1-8b,0.10151886841693208,0.09817135549872119,0.02214833759590791,-0.030716112531969375
ll-3.1-70b,0.1645179811054857,0.15221227621483374,0.011943734015345209,-0.14547314578005127
ll-3.1-405b,0.009447257163735123,0.1373189978790803,0.017749360613810772,-0.11274083546462055
qwen-2.5-7b,0.033639542773631126,0.07613810741687971,0.04457800511508936,-0.004347826086956663
qwen-2.5-72b,0.04525288376220049,0.03189258312020471,-0.11150895140664951,-0.0002557544757033625
qwen-3.0-80b,0.0009134088417978026,-0.10069053708439923,-0.06736572890025594,-0.009897698209718753
deepseek-3.1,-0.07881413434939188,-0.11429667519181586,-0.05391304347826087,0.04828644501278767
kimi-k2,-0.15958557335977874,-0.22699149224907345,-0.1884805561020394,0.0902813299232737
