evaluator,deviation
gpt-oss-120b-thinking,0.033825208607817236
opus-4.1-thinking,0.00521739130434784
gemini-2.5-pro-thinking,0.07198945981554683
qwen-3.0-80b-thinking,0.03513229695380693
deepseek-r1-thinking,0.011336069405949778
kimi-k2-thinking,0.0673336708117277
gpt-4o-mini,0.010652173913043517
gpt-4.1-mini,0.03239130434782611
gpt-4o,0.006739130434782581
gpt-4.1,0.1119565217391304
haiku-3.5,-0.08065217391304347
sonnet-3.7,-0.04239130434782601
sonnet-4.5,0.03195652173913044
opus-4.1,-0.016534914361001296
gemini-2.0-flash-lite,0.00021739130434783593
gemini-2.0-flash,0.07239130434782615
ll-3.1-8b,0.02413043478260868
ll-3.1-70b,-0.138695652173913
ll-3.1-405b,0.014827898550724639
qwen-2.5-7b,0.004565217391304333
qwen-2.5-72b,0.0715217391304348
qwen-3.0-80b,0.10043478260869565
deepseek-3.1,0.050436978480456696
kimi-k2,-0.03152173913043477
