evaluator,sharegpt/english_26+english2_74
gpt-4o-mini,0.06205882352941189
gpt-4.1-mini,0.10117647058823531
gpt-4o,0.07354745368467025
gpt-4.1,-0.01961538461538459
haiku-3.5,0.09176470588235297
sonnet-3.7,0.004620726263072805
sonnet-4.5,-0.10097285067873296
opus-4.1,0.08546136101499435
gemini-2.0-flash-lite,-0.020995475113122164
gemini-2.0-flash,0.029548751007252294
ll-3.1-8b,0.10852941176470587
ll-3.1-70b,0.1544117647058823
ll-3.1-405b,0.14324763835987508
qwen-2.5-7b,0.08377828054298647
qwen-2.5-72b,0.03735294117647059
qwen-3.0-80b,-0.009864253393665146
deepseek-3.1,-0.02239819004524879
kimi-k2,-0.18030665659929113
